,ANZSCO_TITLE,ANZSCO_CODE,Jan-19,Feb-19,Mar-19,Apr-19,May-19,Jun-19,Jul-19,Aug-19,Sep-19,Oct-19,Nov-19,Dec-19,Jan-20,Feb-20,Mar-20,Apr-20,May-20,Jun-20,Jul-20,Aug-20,Sep-20,Oct-20,Nov-20,Dec-20,Jan-21,Feb-21,Mar-21,Apr-21,May-21,Jun-21,Jul-21,Aug-21,Sep-21,Oct-21,Nov-21,Dec-21,Jan-22,Feb-22,Mar-22,Apr-22,May-22,Jun-22,Jul-22,Aug-22,Sep-22,Oct-22,Nov-22,Dec-22,Jan-23,Feb-23,Mar-23,Apr-23,May-23,Jun-23,Jul-23,Aug-23,Sep-23,Oct-23,Nov-23,Dec-23,Jan-24,Feb-24,Mar-24,Apr-24,May-24,Jun-24,Jul-24,Aug-24,Sep-24,Oct-24,Nov-24,Dec-24,Jan-25,Feb-25,Mar-25,Apr-25,May-25,Jun-25,Jul-25,Aug-25,Sep-25,Oct-25,Nov-25
0,TOTAL,0,165363,165429,185974,174667,176608,169588,177768,175656,180395,179395,171562,150808,148797,150979,156485,117845,92868,89610,116099,132424,146395,158166,170021,161219,166032,176227,211776,222096,231314,227395,231648,229760,233983,246433,261778,242567,239672,241934,286771,284870,294176,285587,296528,301831,301758,303498,289797,254977,250885,250410,290877,277850,282802,269295,277802,278295,277672,279641,263685,230766,224531,224831,247060,239755,238782,229580,225960,223357,229703,236254,227089,199341,194347,192841,215338,204042,206099,201701,210416,208051,214332,215499,209716
1,MANAGERS,1,21384,21744,24286,22888,22780,21810,22467,22145,22548,22311,21190,18657,18643,19145,19758,14406,10771,9591,12339,13788,15140,16132,17283,16480,17320,18713,22624,23811,24880,24686,25644,25786,26257,26715,27666,25288,25569,26231,31143,30740,31615,30485,31566,32091,32246,32542,31015,27574,27446,27916,32559,31412,32208,30768,31484,31251,31085,31524,29897,26247,25532,26044,28941,28586,28597,27651,27027,26667,27225,27781,26171,22975,22925,23260,26155,24934,25301,24725,25513,25059,25396,25140,23969
2,"Chief Executives, Managing Directors & Legislators",11,738,733,807,804,845,811,840,803,854,841,823,740,716,715,733,556,480,450,568,613,670,701,724,684,711,767,917,962,955,921,968,1015,1043,1020,1043,949,938,964,1098,1091,1109,1123,1169,1205,1190,1204,1149,1049,1048,1083,1282,1272,1312,1248,1264,1232,1206,1244,1218,1069,1007,1036,1162,1166,1153,1109,1085,1105,1179,1217,1178,1061,1016,956,1021,1011,1051,1047,1080,1053,1044,1040,1005
3,Farmers and Farm Managers,12,109,122,149,132,127,123,136,142,150,142,133,122,122,118,127,103,100,94,109,118,141,147,164,147,160,173,199,207,206,202,220,228,234,220,227,217,225,219,230,221,226,232,253,274,284,287,271,254,243,252,263,262,297,297,301,281,275,296,272,240,226,212,225,233,250,245,221,214,221,221,206,176,173,173,193,187,197,187,199,198,200,190,178
4,"Hospitality, Retail and Service Managers",14,5142,5273,5841,5344,5223,4974,5070,5149,5352,5513,5170,4512,4460,4589,4663,3205,2238,2039,2786,3226,3523,3917,4283,4203,4501,4872,5787,5961,6184,6085,6180,5973,6108,6537,7203,6812,7004,7280,8743,8662,8997,8695,8996,9148,9206,9417,9021,8088,8159,8265,9537,9080,9330,8908,9082,8988,9043,9262,8821,7818,7804,8120,8929,8721,8657,8381,8033,7864,8094,8382,7921,6907,6984,7159,8012,7456,7548,7365,7613,7531,7626,7582,7097
5,Corporate Managers,1A,8798,8987,10069,9492,9512,9159,9463,9241,9331,9073,8612,7546,7704,7925,8192,5829,4192,3599,4708,5239,5699,5979,6387,6067,6425,7027,8620,9174,9686,9691,10078,10065,9870,9625,9702,8813,9005,9210,10981,10800,11066,10700,11078,11175,11143,11124,10561,9295,9273,9491,11153,10763,11072,10655,10934,10906,10795,10853,10182,8846,8700,8951,10107,9984,10041,9699,9482,9317,9447,9525,8923,7738,7855,8017,9172,8782,8924,8708,8976,8695,8789,8596,8218
6,"Construction, Production and Distribution Managers",1B,5072,5101,5645,5402,5365,5153,5293,5120,5120,5000,4803,4296,4256,4404,4577,3530,2709,2343,2821,3051,3341,3525,3782,3650,3839,4131,5002,5334,5594,5574,5842,6073,6308,6477,6643,6041,6049,6163,7327,7250,7463,7087,7249,7318,7346,7422,7053,6329,6267,6459,7550,7319,7358,6891,7072,6994,6925,6942,6571,5775,5476,5517,6096,6078,6055,5856,5836,5768,5819,5901,5551,4992,4918,5075,5647,5451,5451,5328,5461,5404,5456,5419,5230
7,"Health, Education, ICT and Other Managers",1C,1518,1535,1777,1711,1698,1597,1666,1692,1739,1740,1645,1446,1388,1388,1466,1178,1056,1066,1353,1543,1763,1864,1943,1738,1685,1740,2098,2181,2253,2211,2362,2432,2691,2836,2852,2467,2355,2402,2764,2719,2746,2650,2815,2972,3078,3082,2952,2559,2452,2371,2773,2725,2838,2765,2830,2854,2837,2928,2833,2500,2315,2203,2426,2402,2443,2360,2369,2404,2465,2542,2392,2106,1980,1877,2109,2037,2136,2088,2190,2179,2282,2324,2237
8,PROFESSIONALS,2,49250,49249,55129,52618,54370,52916,55470,54294,55019,54042,51798,46448,46169,46846,48681,38124,31034,28992,35718,40122,44508,47026,49119,46136,47033,50232,60092,63480,65918,65120,68020,69733,71533,72546,73594,66842,65576,66067,77344,76578,79122,76905,80688,82081,81932,82423,79986,72379,71209,70829,82127,80260,83079,79835,82792,83300,83052,83030,78317,69031,66218,64762,69894,68113,68193,65710,64125,63100,63975,65548,63886,57262,55684,54062,59641,57459,58545,57845,60345,59098,59976,59281,58105
9,Arts and Media Professionals,21,764,759,880,827,821,756,775,779,822,825,773,659,648,687,728,564,430,399,482,566,678,764,811,738,763,832,1050,1087,1105,1011,1053,1056,1124,1134,1192,1068,1081,1109,1376,1384,1456,1408,1490,1509,1468,1516,1464,1352,1347,1411,1671,1604,1617,1565,1581,1587,1520,1493,1358,1172,1125,1150,1304,1324,1323,1241,1158,1122,1136,1199,1149,1029,1016,1014,1120,1122,1164,1154,1173,1125,1144,1152,1149
